((2, 30), 648686)
((2, 31), 1187501)
((2, 32), 2182871)
((2, 33), 4025457)
((2, 34), 7435020)
((2, 35), 13758224)
((2, 36), 25528004)
((2, 37), 47455713)
((2, 38), 88350942)
((2, 39), 164845963)
((2, 40), 308006948)
((3, 31), 3190)
((3, 32), 5628)
((3, 33), 9820)
((3, 34), 17402)
((3, 35), 31011)
((3, 36), 54810)
((3, 37), 97280)
((3, 38), 173286)
((3, 39), 308243)
((3, 40), 550820)
((3, 41), 983972)
((4, 36), 1)
((4, 37), 1)
((4, 40), 1)
((4, 41), 7)
((4, 42), 9)
